Date,Open,High,Low,Close,Adj Close,Volume
2018-12-06,869.000000,911.950012,843.000000,861.299988,855.865112,4125356
2018-12-07,862.000000,875.000000,845.049988,867.650024,862.175049,1096535
2018-12-10,856.000000,872.250000,843.900024,858.099976,852.685303,821259
2018-12-11,842.200012,874.650024,842.200012,861.750000,856.312256,748458
2018-12-12,862.000000,895.500000,861.250000,880.650024,875.093018,1066840
2018-12-13,882.000000,889.150024,852.349976,858.799988,853.380859,1043497
2018-12-14,860.000000,873.299988,850.000000,867.900024,862.423523,956017
2018-12-17,870.000000,874.000000,856.599976,870.049988,864.559875,497718
2018-12-18,860.000000,867.049988,841.599976,846.599976,841.257813,1634661
2018-12-19,850.000000,861.599976,827.299988,850.099976,844.735779,1987778
2018-12-20,849.000000,859.299988,841.349976,850.049988,844.686096,996549
2018-12-21,850.349976,866.200012,840.099976,845.599976,840.264160,1601801
2018-12-24,848.799988,856.900024,834.150024,837.700012,832.414001,690775
2018-12-26,839.000000,859.849976,818.000000,854.049988,848.660889,1128860
2018-12-27,859.349976,872.900024,853.000000,861.849976,856.411621,1251109
2018-12-28,863.000000,869.000000,858.049988,864.099976,858.647461,420544
2018-12-31,870.000000,871.700012,861.549988,864.500000,859.044922,317152
2019-01-01,864.000000,867.099976,853.400024,863.400024,857.951904,399996
2019-01-02,858.000000,878.000000,857.200012,860.500000,855.070190,892157
2019-01-03,861.150024,865.000000,824.349976,834.799988,829.532349,908897
2019-01-04,832.099976,841.000000,792.250000,815.000000,809.857300,3507785
2019-01-07,819.000000,839.700012,816.299988,835.349976,830.078857,1238344
2019-01-08,836.000000,837.049988,819.200012,821.200012,816.018188,943753
2019-01-09,825.000000,839.000000,820.099976,823.450012,818.253967,1108871
2019-01-10,823.500000,827.000000,810.000000,812.250000,807.124634,1017956
2019-01-11,810.000000,836.000000,794.400024,832.000000,826.750061,2625463
2019-01-14,838.000000,857.849976,830.000000,853.150024,847.766602,2309396
2019-01-15,847.299988,863.000000,842.799988,854.500000,849.108032,1598604
2019-01-16,855.000000,863.000000,835.000000,841.200012,835.891968,2437761
2019-01-17,843.950012,873.299988,821.700012,867.849976,862.373779,10222282
2019-01-18,868.000000,892.200012,853.950012,887.000000,881.402954,4875592
2019-01-21,895.000000,911.700012,874.349976,881.750000,876.186096,4642387
2019-01-22,883.000000,934.000000,879.400024,921.099976,915.287781,3934018
